Date,sp_Open,sp_Close,nd_Open,nd_Close,dj_Open,dj_Close,ph_Open,ph_Close,label
2001-01-02,1320.28,1283.27,2474.16,2291.86,10790.92,10646.15,576.61,570.34,1
2001-01-03,1283.27,1347.56,2254.56,2616.69,10637.42,10945.75,570.34,670.23,1
2001-01-04,1347.56,1333.34,2593.96,2566.83,10944.94,10912.41,670.23,653.80,1
2001-01-05,1333.34,1298.35,2573.11,2407.65,10912.81,10662.01,653.80,617.49,1
2001-01-08,1298.35,1295.86,2388.72,2395.92,10658.73,10621.35,617.49,634.21,1
2001-01-09,1295.86,1300.80,2424.69,2441.30,10625.21,10572.55,634.21,630.98,1
2001-01-10,1300.80,1313.27,2392.71,2524.18,10568.48,10604.27,630.98,650.88,1
2001-01-11,1313.27,1326.82,2495.59,2640.57,10600.20,10609.55,650.88,688.85,0
2001-01-12,1326.82,1318.55,2639.56,2626.50,10608.74,10525.38,688.83,670.73,0
2001-01-16,1318.32,1326.65,2631.49,2618.55,10525.78,10652.66,670.73,637.40,0
2001-01-17,1326.65,1329.47,2710.53,2682.78,10660.95,10584.34,637.40,677.40,0
2001-01-26,1357.51,1354.95,2705.39,2781.30,10727.08,10659.98,692.84,692.47,1
2001-01-29,1354.92,1364.17,2757.29,2838.34,10657.13,10702.19,692.46,715.45,1
2001-01-30,1364.17,1373.73,2845.01,2838.35,10702.19,10881.20,715.45,728.57,0
2001-01-31,1373.73,1366.01,2848.11,2772.73,10882.25,10887.36,728.57,732.19,0
2001-02-01,1366.01,1373.47,2771.57,2782.79,10884.82,10983.63,732.19,727.41,0
2001-02-02,1373.47,1349.47,2782.93,2660.50,10982.71,10864.10,727.41,687.80,0
2001-02-05,1349.47,1354.31,2639.65,2643.21,10860.44,10965.85,687.80,659.06,1
2001-02-06,1354.31,1352.26,2641.91,2664.49,10965.03,10957.42,659.06,663.09,1
2001-02-07,1352.26,1340.89,2615.94,2607.82,10948.95,10946.72,663.09,636.46,1
2001-02-08,1341.10,1332.53,2625.78,2562.06,10940.62,10880.55,636.46,628.45,1
2001-02-09,1332.53,1314.76,2542.24,2470.97,10878.51,10781.45,628.45,623.98,1
2001-02-12,1314.76,1330.31,2458.65,2489.66,10779.42,10946.77,623.98,641.30,0
2001-02-13,1330.31,1318.80,2510.84,2427.72,10950.18,10903.32,641.30,628.89,1
2001-02-14,1318.80,1315.92,2437.68,2491.40,10899.42,10795.41,628.89,678.07,0
2001-02-15,1315.92,1326.61,2536.63,2552.91,10800.65,10891.02,678.07,711.57,0
2001-02-16,1326.61,1301.53,2444.60,2425.38,10884.11,10799.82,711.57,661.39,0
2001-02-20,1301.53,1278.94,2439.57,2318.35,10800.23,10730.88,661.39,612.11,0
2001-02-21,1278.94,1255.27,2281.79,2268.94,10721.29,10526.58,612.11,613.18,0
2001-02-22,1255.27,1252.82,2272.13,2244.96,10527.80,10526.81,613.18,605.70,0
2001-02-23,1252.82,1245.86,2221.27,2262.51,10529.25,10441.90,605.70,608.34,0
2001-02-26,1245.86,1267.65,2287.88,2308.50,10447.59,10642.53,608.34,599.85,0
2001-02-28,1257.94,1239.94,2223.88,2151.83,10639.32,10495.28,569.22,541.23,1
2001-03-01,1239.94,1241.23,2126.30,2183.37,10493.25,10450.14,524.61,570.76,1
2001-03-02,1241.23,1234.18,2111.23,2117.63,10438.04,10466.31,570.76,582.20,0
2001-03-05,1234.18,1241.41,2142.75,2142.92,10468.93,10562.30,582.20,612.34,0
2001-03-06,1241.41,1253.80,2204.30,2204.43,10570.17,10591.22,612.34,646.26,0
2001-03-07,1253.80,1261.89,2241.23,2223.92,10591.86,10729.60,646.26,642.60,1
2001-03-08,1261.89,1264.74,2211.30,2168.73,10727.16,10858.25,642.60,639.10,1
2001-03-09,1264.74,1233.42,2124.11,2052.78,10850.11,10644.62,639.10,593.44,1
2001-03-12,1233.42,1180.16,2001.68,1923.38,10638.52,10208.25,593.44,576.38,1
2001-03-13,1180.16,1197.66,1948.70,2014.78,10206.89,10290.80,576.38,612.51,0
2001-03-14,1197.66,1166.71,1948.56,1972.09,10279.42,9973.46,612.51,609.16,0
2001-03-15,1166.71,1173.56,2023.79,1940.71,9982.92,10031.28,609.09,571.41,1
2001-03-16,1173.56,1150.53,1914.58,1890.91,10023.55,9823.41,571.41,541.26,1
2001-03-19,1150.53,1170.81,1901.45,1951.18,9820.05,9959.11,541.26,577.76,1
2001-03-20,1170.81,1142.62,1964.45,1857.44,9961.14,9720.76,577.76,542.05,1
2001-03-21,1142.62,1122.14,1862.74,1830.23,9717.46,9487.00,542.05,558.02,1
2001-03-22,1122.14,1117.58,1845.34,1897.70,9490.66,9389.48,558.02,626.39,0
2001-03-23,1117.58,1139.83,1938.91,1928.68,9395.58,9504.78,626.39,642.09,0
2001-03-26,1139.83,1152.69,1957.71,1918.49,9509.25,9687.53,642.09,618.47,0
2001-03-27,1152.69,1182.17,1922.70,1972.23,9687.93,9947.54,618.47,622.29,0
2001-03-28,1182.17,1153.29,1925.30,1854.13,9941.20,9785.35,622.29,579.01,0
2001-03-29,1153.29,1147.95,1838.44,1820.57,9784.94,9799.06,579.01,570.00,0
2001-03-30,1147.95,1160.33,1830.42,1840.26,9799.47,9878.78,570.00,545.04,0
2001-04-02,1160.33,1145.87,1835.22,1782.97,9877.16,9777.93,545.04,503.17,0
2001-04-03,1145.87,1106.46,1758.18,1673.00,9774.78,9485.71,503.17,490.66,1
2001-04-05,1103.25,1151.44,1709.91,1785.00,9527.21,9918.05,463.49,522.69,0
2001-04-06,1151.44,1128.43,1756.11,1720.36,9913.94,9791.09,522.69,487.53,1
2001-04-09,1128.43,1137.59,1739.66,1745.71,9793.58,9845.15,487.53,475.22,1
2001-04-10,1137.59,1168.38,1771.68,1852.03,9850.35,10102.74,475.22,520.12,1
2001-04-11,1168.38,1165.89,1929.93,1898.95,10109.05,10013.47,520.12,564.29,1
2001-04-12,1165.89,1183.50,1881.19,1961.43,10013.08,10126.94,564.29,597.92,1
2001-04-16,1183.50,1179.68,1934.70,1909.57,10118.16,10158.56,597.92,576.73,1
2001-04-17,1179.68,1191.81,1872.35,1923.22,10151.73,10216.73,576.73,573.82,1
2001-04-18,1191.81,1238.16,2005.06,2079.44,10226.88,10615.83,573.82,640.94,0
2001-04-19,1238.16,1253.69,2100.88,2182.14,10616.09,10693.71,640.94,685.16,0
2001-04-20,1253.70,1242.98,2171.90,2163.41,10690.33,10579.85,685.16,669.50,0
2001-04-23,1242.98,1224.36,2118.36,2059.32,10571.00,10532.23,669.50,630.82,0
2001-04-24,1224.36,1209.47,2055.32,2016.61,10529.75,10454.34,630.82,615.27,0
2001-04-25,1209.47,1228.75,2013.42,2059.80,10453.43,10625.20,615.27,634.82,0
2001-04-26,1228.75,1234.52,2086.04,2034.88,10633.01,10692.35,634.82,611.66,0
2001-04-27,1234.52,1253.05,2070.24,2075.68,10694.95,10810.05,611.66,642.60,0
2001-05-01,1249.46,1266.44,2116.24,2168.24,10734.05,10898.34,654.17,666.44,0
2001-05-02,1266.44,1267.43,2205.25,2220.60,10902.77,10876.68,666.44,670.65,0
2001-05-03,1267.43,1248.58,2183.07,2146.20,10872.32,10796.65,664.03,647.07,0
2001-05-04,1248.58,1266.61,2102.61,2191.53,10793.20,10951.24,647.07,639.53,0
2001-05-07,1266.61,1263.51,2194.04,2173.57,10952.35,10935.17,639.53,631.05,0
2001-05-08,1266.71,1261.20,2209.01,2198.77,10936.66,10883.51,631.05,640.73,0
2001-05-09,1261.20,1255.54,2162.30,2156.63,10875.96,10866.98,640.73,618.84,1
2001-05-10,1255.54,1255.18,2195.52,2128.86,10868.87,10910.44,618.93,619.04,0
2001-05-11,1255.18,1245.67,2130.74,2107.43,10908.30,10821.31,619.04,616.78,0
2001-05-14,1245.67,1248.92,2105.36,2081.92,10819.55,10877.33,616.78,602.24,0
2001-05-15,1248.92,1249.44,2086.98,2085.58,10877.46,10872.97,602.24,603.55,1
2001-05-16,1249.44,1284.99,2067.60,2166.44,10864.74,11215.92,603.55,642.59,1
2001-05-17,1284.99,1288.49,2170.01,2193.68,11218.65,11248.58,642.59,655.17,1
2001-05-18,1288.49,1291.96,2182.56,2198.88,11245.78,11301.74,655.17,657.43,1
2001-05-21,1291.96,1312.83,2201.45,2305.59,11299.14,11337.92,657.43,706.15,1
2001-05-22,1312.83,1309.38,2319.18,2313.85,11339.80,11257.24,706.15,694.74,0
2001-05-23,1309.38,1289.05,2299.75,2243.48,11257.76,11105.51,694.74,660.14,0
2001-05-24,1289.05,1293.17,2250.04,2282.02,11107.07,11122.42,660.14,658.77,0
2001-05-25,1293.17,1277.89,2281.18,2251.03,11122.03,11005.37,658.77,654.64,0
2001-05-29,1277.89,1267.93,2239.92,2175.54,11004.66,11039.14,654.64,623.25,1
2001-05-30,1267.93,1248.08,2136.95,2084.50,11032.96,10872.64,623.25,585.61,1
2001-05-31,1248.08,1255.82,2092.53,2110.49,10873.23,10911.94,585.61,598.71,1
2001-06-01,1255.82,1260.67,2131.12,2149.44,10913.57,10990.41,598.71,617.60,1
2001-06-04,1260.67,1267.11,2164.70,2155.93,10991.77,11061.52,617.60,606.98,1
2001-06-05,1267.11,1283.57,2167.31,2233.66,11061.39,11175.84,606.98,647.90,0
2001-06-06,1283.57,1270.03,2239.86,2217.73,11177.73,11070.24,647.90,647.33,0
2001-06-07,1270.03,1276.96,2208.03,2264.00,11069.58,11090.74,647.31,697.03,0
2001-06-08,1276.96,1264.96,2263.75,2215.10,11095.62,10977.00,697.03,675.70,0
2001-06-11,1264.96,1254.39,2205.41,2170.78,10974.79,10922.09,675.70,653.00,0
2001-06-12,1254.39,1255.85,2133.56,2169.95,10914.67,10948.38,653.00,653.99,0
2001-06-13,1255.85,1241.60,2175.62,2121.66,10942.00,10871.62,653.99,638.52,0
2001-06-14,1241.60,1219.87,2100.74,2044.07,10868.27,10690.13,638.52,603.57,0
2001-06-15,1219.87,1214.36,2017.80,2028.43,10680.81,10623.64,603.57,608.92,0
2001-06-18,1214.36,1208.43,2035.34,1988.63,10622.50,10645.38,608.94,600.19,0
2001-06-19,1208.43,1212.58,2046.04,1992.66,10654.30,10596.67,600.19,587.83,0
2001-06-20,1212.58,1223.14,1974.11,2031.24,10593.79,10647.33,587.83,584.97,0
2001-06-21,1223.14,1237.04,2026.30,2058.76,10646.39,10715.43,584.97,583.85,0
2001-06-25,1225.35,1218.60,2054.34,2050.87,10607.88,10504.22,586.31,602.24,1
2001-06-26,1218.60,1216.76,2022.86,2064.62,10497.30,10472.48,602.24,606.52,0
2001-06-27,1216.76,1211.07,2068.29,2074.74,10470.35,10434.84,606.52,595.96,0
2001-06-28,1211.07,1226.20,2096.88,2125.46,10438.73,10566.21,595.96,617.75,0
2001-06-29,1226.20,1224.38,2129.89,2160.54,10565.27,10502.40,617.75,624.09,0
2001-07-02,1224.42,1236.72,2156.76,2148.72,10504.95,10593.72,624.09,635.88,0
2001-07-03,1236.71,1234.45,2137.10,2140.80,10588.89,10571.11,635.88,639.49,0
2001-07-05,1234.45,1219.24,2122.89,2080.11,10566.23,10479.86,640.13,619.70,0
2001-07-06,1219.24,1190.59,2060.73,2004.16,10476.73,10252.68,619.70,566.51,0
2001-07-09,1190.59,1198.78,2010.97,2026.71,10253.62,10299.40,566.51,563.80,0
2001-07-10,1198.78,1181.52,2043.61,1962.79,10300.82,10175.64,563.80,542.41,0
2001-07-11,1181.52,1180.18,1954.72,1972.04,10174.70,10241.02,542.41,557.97,0
2001-07-12,1180.18,1208.14,2033.22,2075.74,10269.31,10478.99,557.97,605.93,0
2001-07-13,1208.14,1215.68,2068.22,2084.79,10478.39,10539.06,605.93,593.93,0
2001-07-16,1215.68,1202.45,2078.53,2029.12,10537.98,10472.12,593.93,558.07,0
2001-07-17,1202.45,1214.44,2017.47,2067.32,10468.62,10606.39,558.07,582.27,0
2001-07-18,1214.44,1207.71,2035.09,2016.17,10594.54,10569.83,582.27,562.77,1
2001-07-19,1207.71,1215.02,2042.32,2046.59,10574.33,10610.00,562.77,590.19,1
2001-07-20,1215.02,1210.85,2015.23,2029.37,10606.19,10576.65,590.19,574.30,0
2001-07-23,1210.85,1191.03,2043.84,1988.56,10576.92,10424.42,574.30,557.75,1
2001-07-24,1191.03,1171.65,1980.37,1959.24,10423.80,10241.12,557.75,548.34,1
2001-07-25,1171.65,1190.49,1962.68,1984.32,10241.75,10405.67,548.34,553.34,1
2001-07-26,1190.49,1202.93,1980.03,2022.96,10403.46,10455.63,553.34,588.12,1
2001-07-30,1205.82,1204.52,2034.11,2017.84,10418.68,10401.72,601.67,605.60,1
2001-07-31,1204.52,1211.23,2023.97,2027.13,10403.18,10522.81,605.60,605.88,1
2001-08-01,1211.23,1215.93,2051.56,2068.38,10527.38,10510.01,619.87,636.54,0
2001-08-02,1215.93,1220.75,2092.52,2087.38,10513.47,10551.18,643.84,656.62,0
2001-08-03,1220.75,1214.35,2079.15,2066.33,10550.01,10512.78,653.63,641.06,1
2001-08-06,1214.35,1200.48,2047.86,2034.26,10504.13,10401.31,633.18,631.55,1
2001-08-07,1200.47,1204.40,2026.84,2027.79,10399.03,10458.74,623.77,614.91,1
2001-08-08,1204.40,1183.53,2015.75,1966.36,10456.18,10293.50,612.16,584.74,1
2001-08-09,1183.53,1183.43,1962.48,1963.32,10291.15,10298.56,583.67,585.89,1
