Date,sp_Open,sp_High,sp_Low,sp_Close,nd_Open,nd_High,nd_Low,nd_Close,dj_Open,dj_High,dj_Low,dj_Close,ph_Open,ph_High,ph_Low,ph_Close,label
2001-01-02,1320.28,1320.28,1276.05,1283.27,2474.16,2474.16,2273.07,2291.86,10790.92,10797.02,10585.36,10646.15,576.61,595.58,558.74,570.34,1
2001-01-03,1283.27,1347.76,1274.62,1347.56,2254.56,2618.03,2251.71,2616.69,10637.42,11019.05,10581.09,10945.75,570.34,670.55,556.49,670.23,1
2001-01-04,1347.56,1350.24,1329.14,1333.34,2593.96,2644.80,2549.83,2566.83,10944.94,11028.00,10888.42,10912.41,670.23,684.79,643.44,653.80,1
2001-01-05,1333.34,1334.77,1294.95,1298.35,2573.11,2574.62,2395.39,2407.65,10912.81,10919.42,10627.75,10662.01,653.80,660.27,611.98,617.49,1
2001-01-08,1298.35,1298.35,1276.29,1295.86,2388.72,2397.06,2299.65,2395.92,10658.73,10700.85,10516.02,10621.35,617.49,634.61,590.43,634.21,1
2001-01-09,1295.86,1311.72,1295.14,1300.80,2424.69,2474.16,2406.08,2441.30,10625.21,10680.72,10531.07,10572.55,634.21,647.56,626.66,630.98,1
2001-01-10,1300.80,1313.76,1287.28,1313.27,2392.71,2525.28,2376.49,2524.18,10568.48,10611.59,10472.51,10604.27,630.98,661.31,608.35,650.88,1
2001-01-11,1313.27,1332.19,1309.72,1326.82,2495.59,2661.93,2495.01,2640.57,10600.20,10638.02,10552.62,10609.55,650.88,696.37,634.35,688.85,0
2001-01-12,1326.82,1333.21,1311.59,1318.55,2639.56,2699.87,2589.63,2626.50,10608.74,10623.89,10468.04,10525.38,688.83,698.72,659.86,670.73,0
2001-01-16,1318.32,1327.81,1313.33,1326.65,2631.49,2638.22,2576.95,2618.55,10525.78,10664.05,10486.64,10652.66,670.73,670.73,625.19,637.40,0
2001-01-17,1326.65,1346.92,1325.41,1329.47,2710.53,2756.63,2668.48,2682.78,10660.95,10705.93,10545.30,10584.34,637.40,704.55,637.40,677.40,0
2001-01-26,1357.51,1357.51,1342.75,1354.95,2705.39,2785.62,2686.65,2781.30,10727.08,10742.94,10625.01,10659.98,692.84,694.94,670.31,692.47,1
2001-01-29,1354.92,1365.54,1350.36,1364.17,2757.29,2840.02,2742.50,2838.34,10657.13,10725.14,10612.53,10702.19,692.46,717.62,672.96,715.45,1
2001-01-30,1364.17,1375.68,1356.20,1373.73,2845.01,2861.71,2817.13,2838.35,10702.19,10900.77,10682.96,10881.20,715.45,741.33,715.21,728.57,0
2001-01-31,1373.73,1383.37,1364.66,1366.01,2848.11,2872.47,2772.35,2772.73,10882.25,10957.50,10832.58,10887.36,728.57,763.26,728.57,732.19,0
2001-02-01,1366.01,1373.50,1359.34,1373.47,2771.57,2796.89,2742.44,2782.79,10884.82,10983.80,10864.17,10983.63,732.19,746.32,717.21,727.41,0
2001-02-02,1373.47,1376.38,1348.72,1349.47,2782.93,2791.58,2660.11,2660.50,10982.71,11022.78,10848.58,10864.10,727.41,737.27,687.46,687.80,0
2001-02-05,1349.47,1354.56,1344.48,1354.31,2639.65,2656.02,2596.73,2643.21,10860.44,10977.66,10851.43,10965.85,687.80,687.80,642.42,659.06,1
2001-02-06,1354.31,1363.55,1350.04,1352.26,2641.91,2705.59,2640.23,2664.49,10965.03,11035.14,10932.18,10957.42,659.06,685.77,656.69,663.09,1
2001-02-07,1352.26,1352.26,1334.26,1340.89,2615.94,2636.07,2554.76,2607.82,10948.95,11004.04,10911.26,10946.72,663.09,663.09,625.13,636.46,1
2001-02-08,1341.10,1350.32,1332.42,1332.53,2625.78,2651.84,2562.02,2562.06,10940.62,10965.20,10871.50,10880.55,636.46,661.44,628.12,628.45,1
2001-02-09,1332.53,1332.53,1309.98,1314.76,2542.24,2542.62,2455.87,2470.97,10878.51,10889.22,10754.96,10781.45,628.45,646.78,619.48,623.98,1
2001-02-12,1314.76,1330.96,1313.64,1330.31,2458.65,2508.27,2435.36,2489.66,10779.42,10953.63,10771.65,10946.77,623.98,655.31,623.56,641.30,0
2001-02-13,1330.31,1336.62,1317.51,1318.80,2510.84,2554.65,2427.47,2427.72,10950.18,11012.90,10894.34,10903.32,641.30,666.10,628.73,628.89,1
2001-02-14,1318.80,1320.73,1304.72,1315.92,2437.68,2493.11,2388.40,2491.40,10899.42,10917.91,10780.41,10795.41,628.89,682.04,628.89,678.07,0
2001-02-15,1315.92,1331.29,1315.92,1326.61,2536.63,2593.09,2536.63,2552.91,10800.65,10922.58,10800.65,10891.02,678.07,724.36,678.07,711.57,0
2001-02-16,1326.61,1326.61,1293.18,1301.53,2444.60,2457.65,2397.43,2425.38,10884.11,10884.11,10722.15,10799.82,711.57,711.57,650.28,661.39,0
2001-02-20,1301.53,1307.16,1278.44,1278.94,2439.57,2442.99,2317.77,2318.35,10800.23,10903.17,10727.53,10730.88,661.39,666.60,611.34,612.11,0
2001-02-21,1278.94,1282.97,1253.16,1255.27,2281.79,2353.51,2257.15,2268.94,10721.29,10746.21,10520.27,10526.58,612.11,651.29,605.19,613.18,0
2001-02-22,1255.27,1259.94,1228.33,1252.82,2272.13,2291.69,2185.91,2244.96,10527.80,10566.19,10372.43,10526.81,613.18,633.46,588.51,605.70,0
2001-02-23,1252.82,1252.82,1215.44,1245.86,2221.27,2264.68,2156.29,2262.51,10529.25,10529.25,10294.01,10441.90,605.70,609.35,565.25,608.34,0
2001-02-26,1245.86,1267.69,1241.71,1267.65,2287.88,2309.73,2238.64,2308.50,10447.59,10642.53,10421.91,10642.53,608.34,612.59,579.83,599.85,0
2001-02-28,1257.94,1263.47,1229.65,1239.94,2223.88,2238.06,2127.50,2151.83,10639.32,10684.77,10423.50,10495.28,569.22,570.31,528.28,541.23,1
2001-03-01,1239.94,1241.36,1214.50,1241.23,2126.30,2184.41,2071.03,2183.37,10493.25,10493.25,10302.89,10450.14,524.61,570.91,515.31,570.76,1
2001-03-02,1241.23,1251.01,1219.74,1234.18,2111.23,2197.85,2091.55,2117.63,10438.04,10579.27,10302.06,10466.31,570.76,621.05,551.15,582.20,0
2001-03-05,1234.18,1242.55,1234.04,1241.41,2142.75,2163.09,2127.96,2142.92,10468.93,10571.62,10468.53,10562.30,582.20,619.86,582.20,612.34,0
2001-03-06,1241.41,1267.42,1241.41,1253.80,2204.30,2243.78,2202.70,2204.43,10570.17,10690.93,10570.17,10591.22,612.34,665.81,612.34,646.26,0
2001-03-07,1253.80,1263.86,1253.80,1261.89,2241.23,2243.75,2201.41,2223.92,10591.86,10731.48,10591.86,10729.60,646.26,650.12,630.48,642.60,1
2001-03-08,1261.89,1266.50,1257.60,1264.74,2211.30,2219.87,2161.41,2168.73,10727.16,10859.50,10711.30,10858.25,642.60,649.26,628.18,639.10,1
2001-03-09,1264.74,1264.74,1228.42,1233.42,2124.11,2124.11,2041.78,2052.78,10850.11,10850.11,10579.27,10644.62,639.10,639.10,591.15,593.44,1
2001-03-12,1233.42,1233.42,1176.78,1180.16,2001.68,2004.09,1922.78,1923.38,10638.52,10638.63,10166.62,10208.25,593.44,611.68,573.42,576.38,1
2001-03-13,1180.16,1197.83,1171.50,1197.66,1948.70,2015.35,1932.63,2014.78,10206.89,10293.08,10108.09,10290.80,576.38,612.51,576.38,612.51,0
2001-03-14,1197.66,1197.66,1155.35,1166.71,1948.56,2028.53,1933.40,1972.09,10279.42,10279.42,9895.57,9973.46,612.51,624.29,584.54,609.16,0
2001-03-15,1166.71,1182.04,1166.71,1173.56,2023.79,2030.73,1939.38,1940.71,9982.92,10097.73,9980.85,10031.28,609.09,627.34,570.48,571.41,1
2001-03-16,1173.56,1173.56,1148.64,1150.53,1914.58,1940.71,1877.69,1890.91,10023.55,10049.72,9814.35,9823.41,571.41,571.41,538.17,541.26,1
2001-03-19,1150.53,1173.50,1147.18,1170.81,1901.45,1953.08,1867.58,1951.18,9820.05,9992.66,9794.07,9959.11,541.26,579.95,537.33,577.76,1
2001-03-20,1170.81,1180.56,1142.19,1142.62,1964.45,1974.14,1857.41,1857.44,9961.14,10019.94,9718.16,9720.76,577.76,589.49,541.81,542.05,1
2001-03-21,1142.62,1149.39,1118.74,1122.14,1862.74,1896.21,1820.75,1830.23,9717.46,9719.44,9461.54,9487.00,542.05,578.68,541.57,558.02,1
2001-03-22,1122.14,1124.27,1081.19,1117.58,1845.34,1898.10,1794.21,1897.70,9490.66,9497.78,9106.54,9389.48,558.02,626.87,558.02,626.39,0
